"filename","Texture","run_id","C","sigma","pca_components","R2.cal","RMSE.cal","RPD.cal","RPIQ.cal","R2.val","RMSE.val","RPD.val","RPIQ.val","ME.val","MEC.val","CCC.val","training_time_sec"
"TC","Cl",33,8,0.0345393703645948,22,0.908195410605966,1.22876802302699,3.37233379853314,2.12068156980577,0.936164052940247,0.97149523319836,3.87273837810336,2.71126191873161,0.0076345926183283,0.933240286061977,0.963609297693974,106.700995922089
"TC","Cl",34,8,0.0367566944508376,22,0.913224421851902,1.19432719526586,3.44521752986295,2.22678738334179,0.923617890873778,1.06257694892926,3.61003481341602,2.36147390786947,0.0780745521569789,0.923170500216765,0.959840372543688,108.495312690735
"TC","Cl",35,16,0.033084298263233,23,0.917217551477756,1.13528488697513,3.55714006194294,2.32877078725519,0.909593802716672,1.24680246530335,3.22615968079803,2.03550600085037,-0.00827869074141648,0.903799115034101,0.945656617341366,104.229019880295
"TC","Cl",36,8,0.0339062059119713,22,0.937131062404613,0.985961416653189,3.9843901658169,2.64778963548254,0.858199602972889,1.67394158386298,2.55040324998621,1.57910956719286,-0.0734220320949305,0.846066522910885,0.907755666347061,112.290469646454
"TC","Cl",37,8,0.0328385963550787,22,0.911430028538668,1.24588668963507,3.38762056078901,2.10679247305293,0.96328223646088,0.693631592840427,5.11872541714607,3.76100550627623,0.105785901718211,0.961785593509417,0.981018366114563,111.674273252487
"TC","Cl",38,8,0.0345017684896804,22,0.914383675001296,1.18717450120697,3.45218932129881,2.18050038757419,0.941118418192438,0.957116105713328,4.0513087453639,2.80369211632903,0.0301672936969495,0.938995748520623,0.967116053532853,106.334063529968
"TC","Cl",39,8,0.0329640787418048,23,0.894014989438056,1.2813304490452,3.06252991523045,2.00392913624533,0.944053421721115,1.05452469344129,4.05232829145587,2.56983958446382,-0.0576231551050649,0.939026441405073,0.96638401615878,113.26943230629
"TC","Cl",40,8,0.0361500759461121,22,0.916662435538569,1.10963508967226,3.57915696477582,2.3652928917156,0.88979588179256,1.42220017888542,2.93564676568001,1.82129285908962,0.0229343864541616,0.883816838326128,0.933619714987652,112.008526802063
"TC","Cl",41,8,0.035125304626798,22,0.905376534724995,1.27011339597471,3.28800622112413,2.08393432302064,0.954410742124665,0.79073798847645,4.64311389690668,3.10486852254363,0.0690307849887339,0.953555733180392,0.975703319681405,102.708903312683
"TC","Cl",42,8,0.0335365783555028,22,0.920442266158675,1.15356110268704,3.55472480957121,2.30041367017203,0.896294852282982,1.2495659745014,3.09688025020884,1.99029281426485,0.0414687842512205,0.895599648505224,0.943609541049198,116.1024954319
"TC","Cl",43,8,0.0344634078474459,22,0.91630001672775,1.11199155272248,3.55416834336159,2.28599324678,0.915052906291538,1.2502142884518,3.37206813182649,2.24934442517245,-0.0140843786999199,0.911944172233663,0.951395570485122,110.455768585205
"TC","Cl",44,8,0.0345461978925447,22,0.929932158932765,1.03012569408321,3.83125016150299,2.56310691517101,0.880081938093362,1.54325856833775,2.74073278723612,1.6512014527447,-0.0695940161091214,0.86670391465653,0.920593752584074,112.891817331314
"TC","Cl",45,16,0.0349973086279587,22,0.927515042087741,1.09408479337691,3.69170992136281,2.45597675451313,0.892293952920971,1.34744731638872,2.9836213359517,1.89558651305604,-0.0493763022888127,0.887523089827222,0.936405513888747,102.931787729263
"TC","Cl",46,16,0.0328945266878472,23,0.926045817569987,1.04843707701862,3.74657283030785,2.54815874844586,0.895295173759407,1.4002080452663,3.04949816678722,1.73863263979247,-0.00133091203987617,0.892330168725438,0.94002406198643,106.618485689163
"TC","Cl",47,8,0.034152306052255,22,0.910199236127475,1.20644866563706,3.37953035430182,2.18316591913108,0.942819865124046,0.973819181523971,4.03505848930827,2.63621874441052,0.0136568335334628,0.938503398338238,0.966205608173702,110.393677711487
"TC","Cl",48,8,0.0348090903211598,22,0.924704345484186,1.07362178405762,3.69921274338155,2.39494364605963,0.902998114261784,1.32033229539711,3.16065297854982,2.02961460485522,0.010491547401546,0.899770132818068,0.94426575056774,110.275819063187
"TC","Cl",49,8,0.0348087520531832,22,0.933281205584273,0.977617541101963,3.87771250032915,2.64491768129017,0.855685452142863,1.82329642376372,2.49432641364923,1.47043427226479,-0.0783019226201338,0.839067330855538,0.901627518235354,122.389863014221
"TC","Cl",50,8,0.0328895119013588,23,0.9213416888693,1.1307117955302,3.55319140440441,2.2900476675277,0.890685033606241,1.38830187230084,2.93215925032882,1.92037719835494,-0.0333115104807248,0.883540297052305,0.933032019684505,113.047930717468
"TC","ClLo",1,8,0.0370514430355458,22,0.899339481494,1.20695770234595,3.32757432439495,2.12648926305484,0.938982660915293,0.960148326957643,4.03367277192774,2.6917278975939,-0.0115479438460151,0.938459211237688,0.967533987850737,90.0024416446686
"TC","ClLo",2,32,0.0386421362677846,22,0.900960831537155,1.24548747606895,3.40394652985048,2.08159581875754,0.915350769692121,0.962732511702927,3.39153647058498,2.54565601577632,0.127021629294033,0.912949473488256,0.953219718665016,94.7131931781769
"TC","ClLo",3,16,0.0370917300772451,22,0.908738778287135,1.22430594098417,3.43550227149931,2.09897683371058,0.925270168520061,0.924311066438464,3.6415061402597,2.77103676240635,0.0937947099901439,0.924490378698258,0.96073728473853,93.9897429943085
"TC","ClLo",4,8,0.0367071557547915,22,0.906245939438783,1.19726948682432,3.48442801644018,2.17169666153992,0.919341821711525,0.986018587653568,3.51385748386801,2.53863924964817,0.055587475410683,0.918904622677386,0.957185207788667,92.1635146141052
"TC","ClLo",5,16,0.0393313643129826,21,0.918226128569506,1.16456493715265,3.60999753098551,2.11173266431397,0.927856235112202,0.906822962729499,3.72253246111007,2.97763325475631,0.036083416536475,0.92774175683315,0.962531064486641,84.32066822052
"TC","ClLo",6,8,0.0377727655409069,22,0.915420509886965,1.05705974448296,3.67182201541932,2.39999327686147,0.873888532167425,1.5559539672767,2.68789068673101,1.72521239153255,-0.0522892675641879,0.861407036795893,0.917445651965985,79.0158066749573
"TC","ClLo",7,8,0.0394190627349894,22,0.904060468654825,1.1050508499127,3.41480237467349,2.32916272830643,0.88011515572089,1.60551269596011,2.74178833636153,1.53822374853482,-0.0514627551997194,0.866802358123658,0.920623902722136,77.7305142879486
"TC","ClLo",8,8,0.0370371256353398,22,0.915303799944916,1.18331877122902,3.55380038062328,2.12028726409379,0.914154962239103,1.02226333472174,3.2972379459333,2.64844369893884,-0.0104406959287175,0.907899114250094,0.947944471137195,85.4516146183014
"TC","ClLo",9,16,0.0408099164170502,21,0.914679236668483,1.17864977133141,3.5663715741174,2.20186356721422,0.9383271459798,0.84364024605845,3.99486740364364,2.88728881935208,0.0934109822417495,0.937257813762676,0.967079379060289,82.9537036418915
"TC","ClLo",10,16,0.0380858359787784,22,0.905536275673525,1.25634905994823,3.32617966253128,2.12592812789628,0.938081995766684,0.860199974033037,3.99953514562812,2.83813209567272,0.0894827926743261,0.937404177492202,0.96773550991016,90.3602178096771
"TC","ClLo",11,32,0.0373102850013683,22,0.933132083832736,1.01097989158613,4.08943431834049,2.54629506622652,0.835258576472983,1.51036509858306,2.36462466895868,1.69346924952089,-0.0556709131137125,0.820922941017637,0.890312449776343,82.6016411781311
"TC","ClLo",12,16,0.0371446839924484,22,0.911770057858217,1.07281004460476,3.55806886682856,2.34463599604597,0.896303049686371,1.40995646328322,3.05608743333395,1.93576523004438,-0.0862669857711395,0.892790607461099,0.940247065848851,88.8385918140411
"TC","ClLo",13,32,0.0386372227500424,22,0.919415041657019,1.08492922281561,3.73803165995926,2.44581766874481,0.883414860434816,1.33484552726447,2.82894434512146,1.8061236062578,-0.0212209490989688,0.874883214385575,0.927200014335503,87.224821805954
"TC","ClLo",14,16,0.0378763873688255,22,0.904078747215905,1.12075251925179,3.31424504862781,2.23536989831843,0.911891516366814,1.35694340918314,3.32975752205432,1.98284391175879,-0.00537420362139867,0.909689308423324,0.950501054009882,87.888099193573
"TC","ClLo",15,8,0.0373105169510148,22,0.918812709344867,1.1385415245263,3.4723994909573,2.26929922786521,0.902053524139481,1.2599891048227,3.19071456778181,1.95639591490505,-0.0275961998288555,0.901646804439907,0.947304483144887,79.7475378513336
"TC","ClLo",16,8,0.037294362916789,22,0.909267549991384,1.20735668374019,3.39768098940237,2.20148161748361,0.945458776292288,0.856474253451239,4.25903147571752,2.809807720784,0.0924102715085073,0.944799541373763,0.971520020510427,77.4333472251892
"TC","ClLo",17,8,0.037994404602269,22,0.915855573056171,1.11432133193089,3.56122003871424,2.24801749344538,0.893807493739635,1.30709798840004,3.04997910535647,2.08909141222263,0.0635119055103138,0.892360751466726,0.941179497607639,80.1592860221863
"TC","ClLo",18,8,0.0385284598118541,22,0.897121338020153,1.19215294253745,3.3550730586109,2.17644913661612,0.935843301831627,1.04098131000121,3.75900402072125,2.41558102277272,-0.0155154166475866,0.929137119023723,0.96028520879399,83.4265053272247
"TC","ClLo",19,32,0.0371724826888062,22,0.900982427560467,1.17728487826431,3.19127513164574,2.18956678420979,0.936704619340485,1.15747635782187,3.83585062112612,2.22060945576182,0.0130875306318221,0.931947981244665,0.962362350618645,93.9467036724091
"TC","ClLo",20,8,0.0366632448776648,22,0.883732546987824,1.2154782370281,3.00829432012287,2.02012375269145,0.935451508698989,1.25676069283937,3.67941113419041,2.19057652398416,0.0401919631593935,0.926038152839383,0.957927096366066,88.8028588294983
"TC","ClLo",21,32,0.0380973550064603,21,0.916043184804313,1.13823227565796,3.50326388206674,2.27504251142686,0.95910357674738,0.809215621322538,4.87148869844226,3.0648683980502,0.110184054573389,0.957806943548887,0.977978834393913,79.8964641094208
"TC","ClLo",22,8,0.0394560714182329,22,0.933595927509149,0.894964936981034,4.11401794550024,2.87041489710836,0.831130763588626,1.95822783033444,2.33898655070766,1.314015471101,-0.105783643241209,0.816975623444921,0.887886526944349,76.732442855835
"TC","ClLo",23,4,0.0402512018213106,22,0.905503065286144,1.15824704398202,3.40281548501265,2.2032206261686,0.87725285315864,1.53300603863521,2.6415049752363,1.70097422109405,-0.0695318276193436,0.856496821883861,0.911964632319942,78.3551347255707
"TC","ClLo",24,32,0.0379979391053548,22,0.927574996731061,0.976815832967713,3.79864918826566,2.58818961279425,0.844803223674042,1.80171894390424,2.51275826693468,1.48839645693514,-0.0448357066628516,0.84141468674271,0.909002709923782,80.1818146705627
